id,repo,prNumber,provenance,evidence,language,changedLines,sizeBucket,emptyBody,nQuestions,realMean,syntheticMean,realPctExplicit,syntheticPctExplicit,gap
apache_airflow__64725,apache/airflow,64725,human,none,Shell,107,50-149,false,4,1,1.7500,50,75,-0.7500
apache_airflow__64804,apache/airflow,64804,agent,agent-trailer,Python,47,20-49,false,3,1.3333,1.3333,66.6667,33.3333,0
apache_airflow__64994,apache/airflow,64994,agent,agent-trailer,Python,75,50-149,false,3,0,1.3333,0,66.6667,-1.3333
apache_airflow__65161,apache/airflow,65161,human,none,Python,61,50-149,false,3,0.3333,2,0,100,-1.6667
apache_airflow__65422,apache/airflow,65422,agent,agent-trailer,Python,25,20-49,false,3,2,2,100,100,0
apache_airflow__65493,apache/airflow,65493,human,none,Python,235,150-499,true,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__65550,apache/airflow,65550,human,none,Shell,97,50-149,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__65690,apache/airflow,65690,human,none,Python,263,150-499,true,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__65852,apache/airflow,65852,agent,agent-trailer,Python,56,50-149,false,3,0.6667,2,33.3333,100,-1.3333
apache_airflow__66013,apache/airflow,66013,agent,agent-trailer,Python,700,500+,false,4,1.5000,1.2500,50,50,0.2500
apache_airflow__66186,apache/airflow,66186,human,none,Python,104,50-149,true,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__66198,apache/airflow,66198,agent,agent-trailer,TypeScript,42,20-49,false,3,1.6667,2,66.6667,100,-0.3333
apache_airflow__66433,apache/airflow,66433,agent,agent-trailer,TypeScript,229,150-499,false,3,1.3333,1.6667,66.6667,66.6667,-0.3333
apache_airflow__66571,apache/airflow,66571,human,none,Python,146,50-149,false,4,1.7500,1,75,25,0.7500
apache_airflow__66699,apache/airflow,66699,human,none,Python,338,150-499,true,3,0,1.3333,0,33.3333,-1.3333
apache_airflow__66808,apache/airflow,66808,human,none,Python,29,20-49,false,3,0.3333,0.6667,0,33.3333,-0.3333
apache_airflow__67065,apache/airflow,67065,human,none,Python,72,50-149,false,3,1.3333,1.6667,33.3333,66.6667,-0.3333
apache_airflow__67076,apache/airflow,67076,agent,agent-trailer,Python,274,150-499,false,4,1.7500,2,75,100,-0.2500
apache_airflow__67112,apache/airflow,67112,human,none,Python,157,150-499,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__67214,apache/airflow,67214,human,none,Python,155,150-499,true,3,0.6667,2,0,100,-1.3333
apache_airflow__67229,apache/airflow,67229,agent,agent-trailer,Python,372,150-499,false,3,1.6667,2,66.6667,100,-0.3333
apache_airflow__67237,apache/airflow,67237,human,none,Python,23,20-49,false,3,0,2,0,100,-2
apache_airflow__67242,apache/airflow,67242,human,none,TypeScript,869,500+,false,3,0.6667,1.6667,0,66.6667,-1
apache_airflow__67297,apache/airflow,67297,agent,agent-trailer,Python,96,50-149,false,3,1.3333,1,66.6667,33.3333,0.3333
