repo,source,area,lines_changed,coverage,ci_lo,ci_hi,ci_half_width,commits_scored,questions,questions_explicit,active_recently,corpus_percentile,grey_reason,usable
appwrite/appwrite,sweep,src/Appwrite/Platform/Workers,34876,0.5319148936170213,0.39232141926770786,0.6666853783153737,0.1371819795238329,15,47,25,true,63.71308016877637,,true
appwrite/appwrite,sweep,docs,30800,0.37777777777777777,0.25107885298349863,0.5237032999353246,0.13631222347591299,15,45,17,true,59.07172995780591,,true
appwrite/appwrite,sweep,app/init,30563,0.391304347826087,0.2639302235524884,0.5354341628235508,0.1357519696355312,15,46,18,true,59.07172995780591,,true
appwrite/appwrite,sweep,tests/e2e/Services/Project,25061,0.5142857142857142,0.35568539626711626,0.6700601960874726,0.15718739991017816,11,35,18,true,63.71308016877637,interval-too-wide,false
appwrite/appwrite,sweep,src/Appwrite/Platform/Modules/Functions,24531,0.48936170212765956,0.3527532433660351,0.6275778241062712,0.13741229037011804,15,47,23,true,59.07172995780591,,true
appwrite/appwrite,sweep,tests/e2e/Services/Realtime,22279,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.13631222347591299,15,45,28,true,63.71308016877637,,true
appwrite/appwrite,sweep,tests/e2e/Services/Migrations,19510,0.7446808510638298,0.604915508600796,0.8474699395361627,0.12127721546768333,15,47,35,true,82.13783403656821,,true
appwrite/appwrite,sweep,src/Appwrite/Platform/Modules/Project,19417,0.5102040816326531,0.37467331533409215,0.6442511684059913,0.13478892653594957,15,49,25,true,63.71308016877637,,true
appwrite/appwrite,sweep,src/Appwrite/Platform/Tasks,18563,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
appwrite/appwrite,sweep,tests/e2e/Services/Projects,18552,0.5,0.36389098932037767,0.6361090106796223,0.13610901067962233,15,48,24,true,61.39240506329114,,true
calcom/cal.com,sweep,apps/api,241638,0.4423076923076923,0.31594847188588093,0.5766047500848361,0.1303281390994776,15,52,23,false,59.07172995780591,,true
calcom/cal.com,sweep,apps/web/public,140338,0.20408163265306123,0.11481727042813811,0.33637270110943834,0.11077771534065012,15,49,10,false,38.39662447257383,,true
calcom/cal.com,sweep,packages/lib,109683,0.19607843137254902,0.11015224836299273,0.32458342674495444,0.10721558919098086,15,51,10,true,38.39662447257383,,true
calcom/cal.com,sweep,apps/web/modules,98191,0.34782608695652173,0.22680806269918055,0.49230207822727434,0.1327470077640469,15,46,16,true,59.07172995780591,,true
calcom/cal.com,sweep,packages/trpc,96717,0.26,0.15871379651367384,0.3955342198899992,0.11841021168816268,15,50,13,true,42.616033755274266,,true
calcom/cal.com,sweep,packages/app-store,84470,0.14583333333333334,0.07248157413793963,0.27167447042858606,0.09959644814532322,15,48,7,true,38.39662447257383,,true
calcom/cal.com,sweep,packages/platform,70232,0.08163265306122448,0.032202296241712225,0.19189387041486136,0.07984578708657457,15,49,4,false,38.39662447257383,,true
calcom/cal.com,sweep,packages/features/bookings,65954,0.32653061224489793,0.21207321329264214,0.4662105631259371,0.12706867491664747,15,49,16,true,42.616033755274266,,true
calcom/cal.com,sweep,packages/features,64265,0.25,0.15233011761438864,0.38206717759205233,0.11486852998883185,15,52,13,true,40.50632911392405,,true
calcom/cal.com,sweep,(root),52934,0.15555555555555556,0.07745325311328677,0.28784190511248803,0.10519432599960063,15,45,7,true,38.39662447257383,,true
calcom/cal.com,sweep,apps/web/app,50831,0.27450980392156865,0.1711412201054317,0.4094691194907873,0.1191639496926778,15,51,14,false,42.616033755274266,,true
calcom/cal.com,sweep,apps/web/playwright,33434,0.20408163265306123,0.11481727042813811,0.33637270110943834,0.11077771534065012,15,49,10,true,38.39662447257383,,true
calcom/cal.com,sweep,docs,24008,0.15555555555555556,0.07745325311328677,0.28784190511248803,0.10519432599960063,15,45,7,false,38.39662447257383,,true
